scenario,Year,share_enteric_manure,share_land_opportunity,share_nitrogen
high,2000,0.0773334822469551,0.8566308556823821,0.06603566207066291
high,2001,0.07715169903789276,0.8573361130063838,0.0655121879557234
high,2002,0.07716080397816209,0.8520813668992654,0.0707578291225726
high,2003,0.07791090785017511,0.8488342592347725,0.07325483291505239
high,2004,0.07952060990928889,0.8482738560599622,0.07220553403074882
high,2005,0.07963721202296942,0.8470689553100376,0.07329383266699316
high,2006,0.07998130354683462,0.8439292884060547,0.07608940804711055
high,2007,0.08031940600444176,0.8428293620571421,0.07685123193841614
high,2008,0.08145613039599846,0.8465709472255811,0.07197292237842039
high,2009,0.08110193646059811,0.8414616073246299,0.07743645621477195
high,2010,0.08053964890736705,0.8400637581691437,0.07939659292348936
high,2011,0.08035334061806858,0.841401640339276,0.07824501904265538
high,2012,0.08060130155539721,0.8395322159551708,0.07986648248943201
high,2013,0.08119653271275758,0.8408873641990884,0.07791610308815401
high,2014,0.08185281118875608,0.8424987363955418,0.075648452415702
high,2015,0.08257018137763593,0.8422436509741285,0.0751861676482357
high,2016,0.08352663750429572,0.842414330555286,0.07405903194041827
high,2017,0.0834287649990757,0.8451005264737664,0.07147070852715787
high,2018,0.0802598018443027,0.8522131057916729,0.06752709236402443
high,2019,0.08075332257951832,0.8545064860816952,0.0647401913387865
high,2020,0.08225667645732287,0.8492094492353068,0.06853387430737025
high,2021,0.0836864130355962,0.8507177401002814,0.06559584686412247
high,2022,0.08501289188578613,0.8509458822927366,0.06404122582147721
low,2000,0.1931606331963578,0.641897999513639,0.16494136729000308
low,2001,0.19294450099299812,0.6432196201902778,0.16383587881672393
low,2002,0.19120836124923193,0.6334501719108246,0.17534146683994342
low,2003,0.19198578738046798,0.6275017893313038,0.18051242328822822
low,2004,0.19576313374417822,0.6264819215734855,0.17775494468233635
low,2005,0.1956439585012041,0.6242958009097667,0.1800602405890293
low,2006,0.1954340907321305,0.6186416542658814,0.18592425500198823
low,2007,0.1958916989872288,0.6166751619673283,0.18743313904544295
low,2008,0.19994124454437165,0.6233948800188969,0.1766638754367315
low,2009,0.19733941596034513,0.6142401133288715,0.1884204707107833
low,2010,0.1955057632767804,0.6117631817500864,0.19273105497313325
low,2011,0.19549794437287274,0.614133612167345,0.1903684434597822
low,2012,0.1954788646349828,0.6108243957572375,0.19369673960777972
low,2013,0.19737653913824627,0.6132211519591921,0.1894023089025616
low,2014,0.19951891458784432,0.6160854990293586,0.1843955863827971
low,2015,0.20117996532831242,0.6156310147582882,0.1831890199133993
low,2016,0.20356960321240275,0.6159350698252225,0.18049532696237475
low,2017,0.20426717008542514,0.6207437913616904,0.17498903855288453
low,2018,0.19893329417815872,0.6336929194236663,0.16737378639817493
low,2019,0.20095616516658313,0.6379366485528475,0.16110718628056944
low,2020,0.20282576694250315,0.6281856935661715,0.1689885394913254
low,2021,0.2068897733240819,0.6309439992508404,0.16216622742507777
low,2022,0.21025210742613235,0.6313624713461292,0.1583854212277385
mid,2000,0.11764472169012667,0.7818975352960797,0.10045774301379369
mid,2001,0.117418571822223,0.7828772396422529,0.09970418853552421
mid,2002,0.11705797001787614,0.7755977902525291,0.10734423972959482
mid,2003,0.11796348774482743,0.7711227028378596,0.11091380941731305
mid,2004,0.12035985838366635,0.7703521487252887,0.10928799289104504
mid,2005,0.12044847889874744,0.7686971801073413,0.11085434099391114
mid,2006,0.12073956592990785,0.7643960633726061,0.11486437069748602
mid,2007,0.1211694863604193,0.7628930987186043,0.11593741492097646
mid,2008,0.1231624215434536,0.7680138550290861,0.10882372342746027
mid,2009,0.12224910924397335,0.7610269479206424,0.11672394283538419
mid,2010,0.12129931089783061,0.7591229141812521,0.11957777492091723
mid,2011,0.12111633318283477,0.7609451999983193,0.11793846681884584
mid,2012,0.12135330527018094,0.7583997329145157,0.12024696181530341
mid,2013,0.1223493374721379,0.7602443734567448,0.11740628907111719
mid,2014,0.1234581429681028,0.762441714128847,0.11410014290305026
mid,2015,0.12452098498394489,0.7620935834168692,0.11338543159918599
mid,2016,0.12597635079138456,0.7623265084429924,0.11169714076562302
mid,2017,0.1260329801503094,0.7659986663779398,0.1079683534717508
mid,2018,0.12176908635212688,0.7757797219898832,0.1024511916579898
mid,2019,0.12268860663453147,0.778951553610426,0.0983598397550425
mid,2020,0.124571642991322,0.7716388813001706,0.10378947570850736
mid,2021,0.12685277570481565,0.7737163256870363,0.09943089860814802
mid,2022,0.12888129469635368,0.7740308882123006,0.09708781709134556
