scenario,Year,cropland_ha,pasture_ha,feed_cropland_ha,livestock_land_ha,foregone_co2e_tonnes,land_opportunity_cost_usd
mid,2011,1661994227.3,3676619212.7,548458095.0090001,4225077307.709,21125386538.545002,2112538653854.5
mid,2012,1669553536.6,3668625316.2,550952667.0780001,4219577983.278,21097889916.39,2109788991639.0
mid,2013,1673882416.8,3654693460.5,552381197.544,4207074658.044,21035373290.22,2103537329022.0
mid,2014,1677187242.9,3652034268.4,553471790.1570001,4205506058.557,21027530292.785,2102753029278.5
mid,2015,1683126045.1,3625397516.2,555431594.883,4180829111.083,20904145555.415,2090414555541.5
mid,2016,1684090823.6,3619386256.5,555749971.788,4175136228.288,20875681141.44,2087568114144.0
mid,2017,1686874184.1,3645978734.4,556668480.753,4202647215.153,21013236075.765,2101323607576.5
mid,2018,1690183560.6,3630350490.6,557760574.998,4188111065.598,20940555327.99,2094055532799.0
mid,2019,1688602324.0,3633486900.5,557238766.92,4190725667.42,20953628337.1,2095362833710.0
mid,2020,1693520774.8999999,3626090755.6,558861855.717,4184952611.317,20924763056.585,2092476305658.5
mid,2021,1695308390.1,3631129339.3,559451768.733,4190581108.033,20952905540.165,2095290554016.5
mid,2022,1694875824.2,3627876183.3,559309021.9860001,4187185205.286,20935926026.43,2093592602643.0
